-27,12,69
-19,7,62
-15,4,59
-17,0,48
-20,-2,44
-30,-5,38
-41,-2,37
-45,1,41
-49,2,46
-49,0,48
-51,-5,47
-48,-7,50
-44,-9,54
-44,-15,52
-41,-17,51
-45,-13,51
-47,-8,49
-48,-8,51
-46,-7,50
-44,-6,49
-40,-9,47
-39,-7,47
-37,-6,46
-36,-8,49
-38,-7,54
-41,-5,56
-43,-11,49
-44,-13,53
-48,-12,52
-49,-11,48
-45,-13,50
-47,-13,59
-45,-17,56
-33,-19,49
-29,-20,48
-28,-19,40
-30,-21,35
-30,-22,38
-34,-22,40
-35,-23,40
-36,-26,41
-43,-23,44
-49,-23,45
-67,-22,35
-59,-23,36
-52,-22,35
-57,-17,33
-57,-18,31
-49,-18,29
-49,-18,29
-50,-20,28
-56,-20,26
-57,-20,26
-60,-18,33
-59,-18,34
-57,-18,33
-50,-17,36
-48,-14,39
-54,-16,38
-53,-17,37
-46,-17,37
-48,-19,37
-50,-19,37
-50,-21,38
-52,-22,37
-50,-23,35
-50,-23,36
-49,-23,36
-48,-22,38
-48,-21,40
-49,-23,39
-43,-21,38
-40,-21,38
-35,-21,38
-35,-22,38
-36,-24,38
-38,-22,42
-38,-22,44
-36,-25,43
-41,-28,42
-50,-28,39
-48,-27,40
-47,-27,41
-47,-26,38
-45,-26,37
-42,-26,37
-41,-27,37
-41,-26,37
-47,-25,35
-47,-25,37
-51,-23,37
-57,-22,35
-54,-21,35
-49,-20,35
-47,-19,36
-48,-19,37
-49,-20,38
-47,-20,39
-45,-21,40
-45,-20,39
-46,-20,39
-41,-19,42
-46,-18,41
-48,-17,41
-46,-17,41
-47,-16,40
-51,-15,39
-56,-15,37
-59,-14,34
-54,-12,35
-56,-11,35
-56,-11,33
-56,-11,32
-56,-11,35
-56,-11,32
-56,-11,30
-55,-10,31
-55,-9,30
-56,-9,28
-57,-9,28
-58,-8,29
-60,-8,31
-59,-9,30
-59,-10,29
-60,-9,28
-60,-9,27
-57,-10,29
-56,-10,30
-56,-12,30
-57,-12,31
-57,-12,31
-56,-11,30
-56,-11,29
-56,-10,31
-56,-10,30
-56,-9,28
-59,-8,27
-58,-7,29
-57,-6,29
-57,-7,28
-57,-7,28
-57,-8,29
-56,-8,30
-58,-10,30
-60,-12,26
-60,-12,26
-58,-10,29
-59,-9,29
-57,-8,27
